Data da Pesquisa,Video ID,Channel Title,Title,Published At,Tags,Thumbnails,Category ID,Duration,View Count,Like Count,Dislike Count,Comment Count
11/05/2024,4QIZE708gJ4,PostMaloneVEVO,Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),2024-05-10T14:00:06Z,"post malone,had some help,morgan wallen,post malone morgan wallen,post malone had some help,morgan wallen had some help,had some help post malone morgan wallen,posty had some help,posty",https://i.ytimg.com/vi/4QIZE708gJ4/default.jpg,10,PT3M22S,3629299,194624,0,9082
11/05/2024,TKQY2ZlIEjY,Megan Thee Stallion,Megan Thee Stallion - BOA [Official Video],2024-05-10T04:00:19Z,"Megan Thee Stallion,Rap,Houston,Hottie,Hip Hop 2019,Hip Hop,Megan Thee Stallion BOA,BOA Megan Thee Stallion,megan thee stallion BOA,megan thee stallion,megan thee stallion boa,boa megan thee stallion,boa meg thee stallion,meg thee stallion boa,boa,BOA,boa megan thee stallion new music,megan thee stallion new music,megan thee stallion new release,boa meg,Megan Thee Stallion - BOA [Official Video],boa official video,megan thee stallion official video,boa video",https://i.ytimg.com/vi/TKQY2ZlIEjY/default.jpg,10,PT3M44S,2684651,211706,0,13528
11/05/2024,2KC-8IULfqY,IceSpiceVEVO,Ice Spice - Gimmie A Light (Official Video),2024-05-10T16:00:06Z,"Ice,Spice,Gimmie,Light,10K,Projects/Capitol,Records,Hip,Hop",https://i.ytimg.com/vi/2KC-8IULfqY/default.jpg,10,PT2M7S,1025740,65477,0,6622
11/05/2024,i1QZO9EiVmY,Post Malone - Topic,I Had Some Help,2024-05-09T10:00:41Z,"Post Malone,ポストマローン,ポスト・マローン,Morgan Wallen,I Had Some Help",https://i.ytimg.com/vi/i1QZO9EiVmY/default.jpg,10,PT2M59S,1294078,68890,0,1280
11/05/2024,Cps2uyxo1eM,Nightcap,Shannon Sharpe reacts to Shaquille O'Neal calling Unc out for criticizing Jokic interview | Nightcap,2024-05-10T13:00:10Z,"Nightcap,Shannon Sharpe,Ochocinco,Chad Johnson,Chad Ochocinco,Club Shay Shay,Nightcap Podcast,Shannon Sharpe Podcast,Ochocinco Podcast,Gilbert Arenas,Gil Arenas,Gil Arenas Podcast,Gil Arenas Show",https://i.ytimg.com/vi/Cps2uyxo1eM/default.jpg,17,PT16M40S,735875,21639,0,7700
11/05/2024,B3x86Eull2U,TV Promos,"Young Sheldon 7x13 ""Funeral"" / 7x14 ""Memoir"" Promo (HD) Series Finale",2024-05-11T01:08:39Z,"young sheldon 7x13 promo,young sheldon 7x13,young sheldon season 7 episode 13 promo,young sheldon 7x13 preview,young sheldon 7x13 trailer,young sheldon season 7,young sheldon s07e13,young sheldon (tv program),young sheldon series finale,young sheldon series finale promo,iain armitage,zoe perry,jim parsons,young sheldon promo,tvpromosdb,young sheldon,7x13,promo,season,episode,trailer,funeral",https://i.ytimg.com/vi/B3x86Eull2U/default.jpg,24,PT16S,524150,5560,0,589
11/05/2024,X9G7Md8QI4k,JRE Clips,"Mike Tyson is ""Terrifying"" Ahead of Jake Paul Fight",2024-05-10T17:00:31Z,"Joe Rogan,JRE,Joe Rogan Experience,JRE Clips,PowerfulJRE,Joe Rogan Fan Page,Joe Rogan Podcast,podcast,MMA,Joe Rogan MMA Show,UFC,comedy,comedian,stand up,funny,clip,favorite,best of",https://i.ytimg.com/vi/X9G7Md8QI4k/default.jpg,22,PT14M27S,1571352,22570,0,4758
11/05/2024,7pMrssIrKcY,Gamers Nexus,ASUS Scammed Us,2024-05-11T00:49:24Z,"gamersnexus,gamers nexus,computer hardware,asus scam,asus warranty,asus rma,asus motherboard,asus motherboard warranty,asus,asus rog,asus rog ally,asus ally z1x,asus ally x,asus rog ally warranty,asus rog ally microsd card,asus ally sd card,asus ally thumbstick,asus ally joystick,asus ally joystick drifting,customer induced damage,warranty fraud,magnuson-moss act,louis rossmann",https://i.ytimg.com/vi/7pMrssIrKcY/default.jpg,20,PT29M36S,735407,60305,0,10784
11/05/2024,SQ1yPMTIwCU,JYP Entertainment,"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",2024-05-10T04:00:01Z,"JYP Entertainment,Stray Kids,스트레이 키즈,SKZ,스키즈,방찬,BANG CHAN,리노,LEE KNOW,창빈,서창빈,CHANGBIN,SEOCHANGBIN,현진,황현진,HYUNJIN,HWANGHYUNJIN,한,한지성,HAN,HANJISUNG,필릭스,FELIX,용복,이용복,승민,김승민,SEUNGMIN,KIMSEUNGMIN,아이엔,양정인,I.N,YANGJEONGIN,stray kids comeback,스트레이 키즈 컴백,스키즈 컴백,skz comeback,skz,lose my breath,stray kids lose my breath,skz lose my breath,stray kids charlie puth,skz charlie puth,스키즈 찰리푸스,skz mv,lose my breath mv,스키즈 뮤비,스트레이키즈 뮤비,스키즈 lose my breath 뮤비",https://i.ytimg.com/vi/SQ1yPMTIwCU/default.jpg,10,PT2M53S,12227306,953187,0,112804
11/05/2024,AJZIwDbJxPA,DaFuq!?Boom!,skibidi toilet 73 (full episode),2024-05-10T00:30:08Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",https://i.ytimg.com/vi/AJZIwDbJxPA/default.jpg,24,PT9M41S,17419056,703787,0,53844
11/05/2024,swVqSElGaHI,JJ Olatunji,I HAVE RETURNED!,2024-05-10T17:55:38Z,,https://i.ytimg.com/vi/swVqSElGaHI/default.jpg,24,PT17M42S,1193446,92179,0,3984
11/05/2024,zlFH3aC7Z_c,How Ridiculous,Boat Vs Mountain! Extreme Downhill Rolling Competition,2024-05-10T22:00:39Z,"how ridiculous,rexy,44club",https://i.ytimg.com/vi/zlFH3aC7Z_c/default.jpg,17,PT17M13S,460475,21023,0,1282
11/05/2024,WJW-VvmRKsE,Charli XCX,Charli XCX - 360 (Official Video),2024-05-10T04:00:06Z,"charli xcx,charli xcx - von dutch,von dutch - charli xcx,charli xcx brat,brat charli xcx,charli xcx cult classic,von dutch addison rae remix,charli xcx addison rae remix,charli xcx addison rae,charli xcx 360,360 charli xcx,360 - charli xcx,charli xcx - 360,charli xcx rachel sennott,charli xcx julia fox,charli xcx gabbriette,charli xcx chloe cherry,charli xcx richie shazam,charli xcx b2b,brb charli xcx,charli xcx club classics,club classics charli xcx",https://i.ytimg.com/vi/WJW-VvmRKsE/default.jpg,10,PT4M25S,855510,70421,0,3422
11/05/2024,jBlC5AOYoBs,Tee Grizzley,Tee Grizzley - Swear to God (Feat. Future) [Official Video],2024-05-10T04:00:06Z,"Tee Grizzley,2 Vaults,Activated,Hip Hop,From The D To The A,Detroit,TeeGrizzley,Jettski Grizzley,Bloodas,Rap,First Day Out,TGrizzly,Jetski Grizzley,Trap,Tgrizzley,Tee Grizzley - Swear to God (Feat. Future) [Official Video],Tee Grizzley Swear to God ft Future,Swear to God Tee Grizzley ft Future,swear to god tee grizzley ft future,tee grizzley ft future swear to god,swear to god tee grizzley,tee grizzley swear to god,swear to god,tee grizzley future,future",https://i.ytimg.com/vi/jBlC5AOYoBs/default.jpg,10,PT3M5S,545856,37287,0,1840
11/05/2024,NzKNCn0SunA,TVLine,Young Sheldon 7x12 | George Dies,2024-05-10T01:01:00Z,"TVLine,Michael Ausiello,young sheldon,Lance Barber,Zoe Perry,young sheldon season 7,young sheldon finale,young sheldon george,young sheldon mary,young sheldon george and mary,big bang theory,the big bang theory,tbbt,sheldon cooper,cbs,tv,tv news,television,interview,season 7,young sheldon final episode,young sheldon final season,2024,young sheldon season 7 episode 11,young sheldon season 7 episode 12,episode 7,episode 12,young sheldon george dies",https://i.ytimg.com/vi/NzKNCn0SunA/default.jpg,24,PT9M23S,1634724,10960,0,1499
11/05/2024,cOHBlzP-rDY,Karl Jobst,How One Cheater Changed Super Mario Maker History,2024-05-11T00:10:01Z,,https://i.ytimg.com/vi/cOHBlzP-rDY/default.jpg,20,PT15M29S,303745,20163,0,2003
11/05/2024,D_HIsjhzuro,Grind Hard Plumbing Co,Can the Monster Chopper Hill Climb?,2024-05-10T19:30:01Z,"hill climb racing,chopper bike,hill climb,hill climb motocross,hill climb monsters,monster chopper,off road chopper,chopper motorcycle,chopper motorcycle off roading,chopper motorcycle build,chopper motorcycle sound,chopper motorcycle ride,grind hard plumbing co",https://i.ytimg.com/vi/D_HIsjhzuro/default.jpg,2,PT40M15S,479921,23729,0,2129
11/05/2024,ALM72lthdjE,Peso Pluma,"LA DURANGO (Lyric Video) - Peso Pluma, Junior H, Eslabón Armado",2024-05-10T00:02:31Z,"Peso Pluma,Eslabón Armado,Junior H,PP,Doble P,Double P,Junior,corridos,música mexicana,La Durango,Prajin,Prajin Music,Double P Records",https://i.ytimg.com/vi/ALM72lthdjE/default.jpg,10,PT4M23S,1327679,102180,0,5727
11/05/2024,GdE8rGHMsgU,On The Radar Radio,"The Sheff G ""On The Radar"" Freestyle",2024-05-10T18:00:06Z,"on the radar,off the radar,on the radar radio,freestyle,live performance,on the radar freestyle,off the radar freestyle,otr freestyle",https://i.ytimg.com/vi/GdE8rGHMsgU/default.jpg,10,PT2M15S,175834,15245,0,829
11/05/2024,nXia20jA4tI,Dr.Tamitha Skov,"An Extreme G4 Solar Storm Train, Eight Storms Race to Earth | Space Weather Spotlight 10 May 2024",2024-05-10T19:43:42Z,"space weather,GPS,amateur radio,aurora,photography,astronaut,NASA",https://i.ytimg.com/vi/nXia20jA4tI/default.jpg,25,PT20M50S,243844,9468,0,1032
11/05/2024,xKEY6THtwuA,Shoreline Mafia,Shoreline Mafia - HEAT STICK (OHGEESY & FENIX FLEXIN)  [Official Music Video],2024-05-10T02:00:07Z,"Shoreline Mafia,ShoreLineDoThatShiT,OTX,Musty,Drakeo,The Ruler 03 Greedo,Atlantic Records,Hip Hop,Rap,traplantic,ohgeesy,master kato,fenix,rob vicious,nun major,Shoreline Mafia Mafia Bidness,Shoreline Mafia Bidness,Mafia Bidness,Shoreline Mafia lbum,Shore line,hyphy,hyphy music,Cali rap,California rap,cali hip hop",https://i.ytimg.com/vi/xKEY6THtwuA/default.jpg,10,PT2M18S,291874,34501,0,2800
11/05/2024,2JTBSa7XsjE,STUDIO CHOOM [스튜디오 춤],'Trendsetter' X 'HUMBLE.' covered by ENHYPEN NI-KI(니키) | May 2024 | Artist Of The Month (4K),2024-05-10T13:00:02Z,"M2,엠투,스튜디오 춤,스춤,Studio choom,COVERS,커버스,DANCE THE X,댄스 더 엑스,댄스,DANCE,비 오리지널,BE ORIGINAL,커버,COVER,Artist Of The Month,AOTM,Drop the dance,드롭더댄스,Mix & Max,믹스앤맥스,믹앤맥,엔하이픈,엔하이픈 니키,ni-ki,enhypen,enhypen ni-ki,aotm ni-ki,ni-ki aotm,artist of the month,아오먼,아오먼 니키,니키 아오먼,니키 엔하이픈,trendsetter,humble,kendrick lamar humble,connor price,켄드릭라마",https://i.ytimg.com/vi/2JTBSa7XsjE/default.jpg,24,PT3M12S,2326690,306033,0,23913
11/05/2024,bkWCBKcZYEI,gabi belle,Gen Alpha vs Gen Z is so dumb,2024-05-10T17:00:17Z,"gabi belle,commentary",https://i.ytimg.com/vi/bkWCBKcZYEI/default.jpg,23,PT16M41S,361174,23514,0,2486
11/05/2024,NTpbbQUBbuo,HozierVEVO,Hozier - Too Sweet (Official Video),2024-05-10T18:00:08Z,"too sweet hozier,unheard,you're too sweet for me,wildflower and barley,take my whiskey neat,hozier new song,fare well,hozier tiktok,empire now,hozier whiskey song,Hozier,Too Sweet",https://i.ytimg.com/vi/NTpbbQUBbuo/default.jpg,10,PT4M9S,455489,37044,0,1045
11/05/2024,VbsKll8ikCs,DEATH BATTLE!,Is DEATH BATTLE dead???,2024-05-10T18:00:14Z,"DEATH BATTLE,Rooster Teeth,DBX,DEATH BATTLE Cast,screwattack,deathbattle,roosterteeth,savedeathbattle,red vs blue,ben singer,chad james",https://i.ytimg.com/vi/VbsKll8ikCs/default.jpg,24,PT1M5S,220900,23022,0,1946
11/05/2024,3sqqBjGByXI,TIVEVO,"T.I., & YoungBoy Never Broke Again - LLOGCLAY [Official Music Video]",2024-05-10T16:00:06Z,"#TI,#YoungBoyNeverBrokeAgain,#NBAyoungBoy,#LLOGClay,#YoungBoy,#NeverBroke Again,#OfficialVideo,#RapVideo,#RapMusicVideo,#HipHopMusic,#RapSong",https://i.ytimg.com/vi/3sqqBjGByXI/default.jpg,10,PT3M44S,161832,14822,0,1011
