Data da Pesquisa,Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
12/05/2024,CbsJFpa2aw4,VASCO 2 X 1 VITÓRIA - Campeonato Brasileiro - 6ª Rodada - 12/05/2024 - AO VIVO,Tupi Esportes,2024-05-12T18:21:24Z,"FUTEBOL é na TUPI❗ Estádio São Januário - RJ Narração  Luiz Penido Comentários  Dé, o Aranha A TUPI conta tudo ...",[],UC9u7p59wlSaAuBmPevKWo9A,23738,3720,0,0,{},[],{}
12/05/2024,ExxmKU-Wn6w,"PILHADO SURTOU! &quot;COVAAARDE! TITE, VOCÊ É UM...&quot; OLHA essa PISTOLADA após Bolívar 2 x 1 Flamengo!",Jovem Pan Esportes,2024-04-25T02:52:26Z,"PILHADO PISTOLOU! Após o Flamengo de Tite perder para o Bolívar por 2 gols a 1 hoje pela Libertadores, o apresentador do ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,363720,19278,0,2707,{},[],{}
12/05/2024,r6jmeK72f_8,&quot;SÓ PODE ESTAR DE SACANAGEM! A INFORMAÇÃO de hoje é que o Flamengo...&quot; OLHA o que REVOLTOU Pilhado!,Jovem Pan Esportes,2024-05-09T17:25:40Z,"Uma informação de hoje sobre o Flamengo de Tite, que vive crise na Libertadores, revoltou Pilhado ao vivo no Bate-Pronto.",[],UCv-Nx8pSfG_LxbViMz14RWQ,416584,15615,0,1361,{},[],{}
12/05/2024,nHErO4Ft3oE,"&quot;ISSO É UMA MALUQUICE, gente! O Tite tem que ser COBRADO? SIM! Mas...&quot; Mauro Cezar ANALISA Flamengo!",Jovem Pan Esportes,2024-05-03T21:15:01Z,"Tem que ser demitido? Os gritos de ""Fora, Tite"" ecoaram na torcida do Flamengo após a vitória por 1 a 0 sobre o Amazonas com ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,290040,10864,0,618,{},[],{}
12/05/2024,2RVs1yhDLgg,São Paulo VENCE e SE CLASSIFICA às 8ªs da Libertadores; Vini BRILHA na Champions! | BATE-PRONTO,Jovem Pan Esportes,2024-05-09T17:09:16Z,"O Bate-Pronto de hoje falará tudo sobre a vitória do São Paulo por 3 a 1 sobre o Cobresal, ontem de noite, no Chile. O resultado ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,184162,7068,0,119,{},[],{}
12/05/2024,DVaIujjsWWw,Palmeiras e São Paulo VENCEM pela Copa do Brasil; Flamengo e Corinthians JOGAM amanhã! | BATE-PRONTO,Jovem Pan Esportes,2024-05-03T17:11:29Z,"O Bate-Pronto de hoje debaterá as vitórias de Palmeiras e São Paulo, ontem de noite, na Copa do Brasil. O Verdão bateu o ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,167303,6247,0,44,{},[],{}
12/05/2024,bhmgW3PlmbY,"Flamengo VENCE, mas é VAIADO; Tite é XINGADO; Carlos Miguel BRILHA no Corinthians! | BATE-PRONTO",Jovem Pan Esportes,2024-05-02T17:05:49Z,"O Bate-Pronto de hoje falará tudo sobre os jogos de ontem pela Copa do Brasil. No Maracanã, o Flamengo venceu o Amazonas ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,226448,8833,0,85,{},[],{}
12/05/2024,u0ywlRe3ZMs,Flamengo PERDE pro Palestino e CAI para 3º na Libertadores; Corinthians VENCE na Sula! | BATE-PRONTO,Jovem Pan Esportes,2024-05-08T17:11:26Z,O Bate-Pronto de hoje debaterá a situação do futebol brasileiro em meio ao estado de calamidade no Rio Grande do Sul devido ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,307071,13609,0,132,{},[],{}
12/05/2024,tjk9c72cEYA,Pilhado DESTRUIU Flavio Prado? &quot;VOCÊ É PALHAÇO! É BRILHANTE o início do Zubeldía no São Paulo e...&quot;,Jovem Pan Esportes,2024-05-09T15:45:14Z,Flavio Prado e Pilhado tiveram um debate muito quente sobre o São Paulo de Zubeldía após a vitória sobre o Cobresal e a ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,212590,8610,0,1746,{},[],{}
12/05/2024,XLENpHKzK-o,"&quot;EU FALO! Se o Vinicius Júnior não for o MELHOR DO MUNDO caso o Real GANHE a Champions, EU VOU...&quot;",Jovem Pan Esportes,2024-05-09T16:51:13Z,"Vinicius Júnior x Bayern de Munique: o brasileiro do Real Madrid teve skills, melhores momentos e brilhou de novo na semifinal ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,226199,8833,0,979,{},[],{}
